cause,category_cause,effect,category_effect,relationship,frequency,num_papers,main_confidence,sample_evidence
deamidation,sequence,increased,quality_outcome,promotes,4,3,high,deamidation causes increases in self-association and/or aggregation at low pH (3.8)
glycosylation,sequence,charge heterogeneity,quality_outcome,modifies,4,4,high,glycosylation has been identified as one of the main sources of monoclonal antibody heterogeneity
concentration,formulation,glycation,stability,decreases,4,2,high,lowering the concentration of glucose...would lower the extent of rhuMAb glycation
stress conditions,stress,stability,stability,maintains,4,4,high,similar stability and biological activity were noted for SB2 and both reference products.
glycosylation,sequence,immunogenicity,quality_outcome,promotes,4,4,high,"glycosylation is considered a crucially important quality attribute, because of its major role in immunogenicity"
thermal stress,stress,stability,stability,negative,4,4,high,observe broadly similar yet subtly different stability patterns for these three biotherapeutics
elevated temperature,stress,increased aggregation,stability,promotes,4,3,high,Thermal stress led to an increased formation of dimers and soluble oligomers.
ionic strength,formulation,binding affinity,stability,modifies,4,4,high,an increase in ionic strength decreases the affinity of binding the HEWL:HyHEL-5 complex
excipients,formulation,impact,stability,modifies,4,4,high,bulking agents can impact protein stability in the solid state
bevacizumab,sequence,biological activity,stability,stabilizes,4,2,high,Bevacizumab is a humanized monoclonal antibody that binds to vascular endothelial growth factor (VEGF) and prevents tumo
high concentration,formulation,self-association,stability,promotes,4,4,high,high antibody concentrations (>50 mg/mL) required for subcutaneous delivery.
peg precipitation,formulation,removal of impurities,quality_outcome,stabilizes,4,1,high,"PEG precipitation removed host cell proteins (HCPs), high molecular weight species (HMWS)... to acceptable levels"
concentration,formulation,stability,stability,stabilizes,4,4,high,Effective and robust precipitation conditions including protein concentration... gave acceptable yield and purity levels
glycosylation,sequence,pharmacokinetics,stability,modifies,4,4,high,the degree of glycosylation of a molecule may alter its pharmacokinetic properties
scFv D32.10,structure,binding activity,quality_outcome,correlates,4,1,high,The scFv mimicked the antibody in binding to the native serum-derived HCV particles.
temperature,stress,aggregation rates,stability,increases,4,4,high,Control of aggregate levels inherently requires control and/or prediction of aggregation rates at formulation conditions
higher-order structure,structure,stability,stability,stabilizes,4,4,high,the apo structure forms a trimer in the crystal lattice and it results in the formation of an intermolecular composite b
amino acid sequence,sequence,aggregation,stability,promotes,4,4,high,"the 2B4 epitope resides within the proline-rich region of Huntingtin, which is critical for polyQ aggregation and toxici"
deletion,sequence,abrogated DAF function,stability,destabilizes,4,1,high,"individual deletion of SCR2, SCR3, or SCR4 totally abolished DAF function"
posttranslational modifications,sequence,charge variants,quality_outcome,promotes,4,4,high,"MAb micro-heterogeneity can result from post-translational modifications such as sialylation, galactosylation... each of"
glycosylation,sequence,aggregation,stability,promotes,4,4,high,Aglycosylated mAbs are somewhat less stable and therefore aggregate more easily than the glycosylated form.
aggregation,structure,biological activity,quality_outcome,promotes,4,4,high,heat-aggregated or immune complexes...elicited anti-idiotypic (anti-Id) antibodies
binding affinity,stability,stability,stability,promotes,4,4,high,displayed stable binding to antigen in conditions that usually destabilize antigen-antibody interactions
formulation,sequence,efficacy,quality_outcome,destabilizes,4,4,high,mismatched mutation at position 181 (I181X) in the V2 loop was associated with a higher vaccine efficiency
polysorbate 80,formulation,aggregation,stability,prevents,4,4,high,to prevent antibody aggregation on silicone oil it is not necessary to add surfactant to a concentration high enough to 
immunogenicity,quality_outcome,clearance,stability,destabilizes,4,4,high,development of antidrug antibodies and diminished serum drug levels
charge heterogeneity,sequence,stability,stability,correlates,4,4,high,valid for the quantification of mAb samples with a charge heterogeneity between 1% and 50%.
shear stress,stress,aggregation,stability,promotes,4,3,high,enhanced shear-induced platelet aggregation (SIPA) observed in ACSs
pH,formulation,adsorption,stability,modifies,4,4,high,predict the adsorption equilibrium constant (i.e. retention factor or Henry constant) with an explicit pH and salt depen
binding activity,structure,neutralization,stability,stabilizes,4,4,high,"Fab m14 potently neutralized selected well-characterized subtype B isolates, including JRCSF, 89.6, IIIB, and Yu2"
adsorption,formulation,aggregation,stability,decreases,4,3,high,the efficacy of surfactants... in lowering adsorption and aggregation of mAbs at oil-water interfaces.
high temperature,stress,aggregation,stability,promotes,4,4,high,"Antibody aggregation was induced by four different stress factors: high temperature, low pH, addition of fatty acids, an"
original term,structure,stability,stability,stabilizes,4,4,high,suggesting that the drug-linker will be highly stable in humans
light exposure,stress,degradation,stability,promotes,4,4,high,Light exposure is one of several conditions used to study the degradation pathways of recombinant monoclonal antibodies.
posttranslational modifications,sequence,biological activity,quality_outcome,destabilizes,4,4,high,various posttranslational modifications and potential degradation hotspots...may affect efficacy and immunogenicity
formulation,formulation,clearance rate,stability,increases,3,2,high,hMAb-10058 produced in serum-free...had a clearance rate of 14.4 ml/min/kg
pH,formulation,binding affinity,stability,modifies,3,3,high,association constant that is highly dependent on solution pH and temperature
galactosylation,sequence,biological activity,quality_outcome,stabilizes,3,3,high,Fc-galactosylation enhances the efficacy of CD20-targeting complement-fixing antibodies for... tumor cell lysis
amino acid sequence,sequence,viscosity,stability,correlates,3,3,high,the model could reproduce the viscosity value at a high level
polysorbate 80,formulation,instability,stability,aggregation,3,3,high,demonstrating a strong protecting effect of polysorbate and glycine.
galactosylation,sequence,binding activity,quality_outcome,stabilizes,3,3,high,Fc-galactosylation enhances the efficacy of CD20-targeting complement-fixing antibodies for C1q binding
glycosylation,sequence,critical quality attribute,quality_outcome,stabilizes,3,3,high,Fc glycosylation of a mAb is an established critical quality attribute (CQA)
freeze-thaw,stress,aggregation,stability,promotes,3,2,high,rituximab showed to be less stable and more sensitive...generating large aggregates (>200nm)
thermal stress,stress,aggregates,stability,promotes,3,3,high,Nivolumab tends to form small aggregates less than 50nm when heated
afucosylation,sequence,binding affinity,stability,stabilizes,3,2,high,afucosylation in the Fc region results in reduced steric hindrance
charge distribution,sequence,stability,stability,promotes,3,3,high,"peak compression and peak separation contribute to the gains in resolution, evidently through the Donnan potential effec"
monoclonal antibody,sequence,instability,stability,destabilizes,3,2,high,the number of translocations is reduced because the complex is too large to translocate
buffer composition,formulation,aggregation,stability,decreases,3,3,high,aggregation is minimal in buffers used in anion exchange chromatography (Tris-HCl buffer at pH 7.2 and 8)
structural changes,structure,aggregation,stability,promotes,3,3,high,structural changes correlated with long-term stability with respect to protein aggregate formation
pH,formulation,self-association,stability,positive,3,3,high,pH influenced both association and dissociation
salt concentration,formulation,aggregation propensity,stability,increases,3,2,high,a maximum of the aggregation propensity as a function of salt concentration is observed
formulation,formulation,fragmentation,stability,promotes,3,3,high,mAb...caused single-strand...DNA fragmentation
media supplementation,formulation,decrease in binding affinity,quality_outcome,decreases,3,1,high,MnCl2 can be used as a manipulated variable to decrease FA2 simultaneously
physical stability,structure,long-term stability,stability,correlates,3,2,high,interfacial viscoelasticity and surface pressure of mAbs...will correlate with their long-term stability
glycosylation,sequence,efficacy,stability,stabilizes,3,3,high,Glycosylation has been established as playing a pivotal role in various aspects of recombinant monoclonal antibodies (MA
e5 binding to s. minnesota,sequence,binding activity,quality_outcome,enhances,3,1,high,E5 may enhance bacterial clearance... by facilitating the binding of opsonized bacteria to cells of the mononuclear phag
silicone oil,formulation,aggregation,stability,promotes,3,3,high,Silicone oil has been implicated in aggregation and particulation of proteins and antibodies.
oxidation,stability,biological activity,quality_outcome,destabilizes,3,3,high,Oxidation of biopharmaceuticals may affect their bioactivity
oxidation,sequence,destabilizes,stability,negative,3,3,high,"modifications such as pyroglutamic acid, deamidation, isomerization and oxidation."
high protein concentration,formulation,viscosity,stability,promotes,3,3,high,specific solution properties of formulations that are prone to appear at high protein concentrations such as high viscos
polysorbate 80,formulation,particle formation,quality_outcome,positive,3,2,high,Polysorbate 80 (PS80) reduced particle formation in UF/DF by factors of 15.
glycosylation variants,sequence,impact,quality_outcome,modifies,3,1,high,impact of different glycoforms... on the safety/immunogeneicity.
medi0618,sequence,prevent interaction,stability,inhibits,3,1,high,MEDI0618 prevented matriptase-induced increase in cytosolic calcium.
elevated temperature,stress,aggregation,stability,negative,3,3,high,"thermal stress-induced, nonglycosylation-mediated aggregation pathway"
sialylation,sequence,stability,stability,modifies,3,3,high,These oligosaccharides differ mainly in degree of sialylation with N-glycolyl neuraminic acid.
degradation,formulation,stability,stability,promotes,3,3,high,Several product quality risks were identified allowing for a more informed selection of the production clone.
low pH,formulation,increased,stability,promotes aggregation,3,2,high,"T(onset) which has been found to correlate with aggregation induced by salt, low pH, and buffer species."
galactosylation,sequence,instability,stability,negative,3,3,high,a more galactosylated 105-2H variant provoked more severe anemia in FcgammaRIIB-deficient mice.
pH 4.5,formulation,binding activity,quality_outcome,destabilizes,3,3,high,This antibody binds NhaA at pH 8.5 but not at pH 4.5.
arginine,formulation,stability,stability,positive,3,3,high,an optimized formulation of 200mM arginine... substantially improve stability
her2 protein expression levels,sequence,efficacy,quality_outcome,positively correlates,3,1,high,The effectiveness of monoclonal antibody therapies positively correlates with HER2 protein expression levels.
biological activity,formulation,efficacy,quality_outcome,stabilizes,3,3,high,Early and sustained treatment with interleukin-12 (IL-12) ameliorated disease in a mouse model of infection
elo,sequence,biological activity,quality_outcome,positive,3,1,high,Elo enhanced survival of PEL-bearing immunodeficient mice with adoptive transfer of human NK cells.
self-association,structure,aggregation,stability,promotes,3,3,high,assess self-association and aggregation early in the selection process
elevated temperature,stress,degradation,stability,promotes,3,2,high,the percentage of clipped antibody molecules after 1 month of storage was 4.4% at 45 degrees C
formulation,formulation,glycan content,quality_outcome,modifies,3,3,high,a mAb purified from leaves of plants expressing xylGalT displayed an N-glycan profile that featured high levels of galac
oxidation,sequence,degrades,stability,promotes,3,3,high,evaluate the robustness of the mAb formulation against external stress factors when handling it in preparation for admin
buffering capacity,formulation,stability,stability,practically identical,3,3,high,"buffer capacity of monoclonal antibodies is practically identical at the process relevant temperatures 5, 25, and 40 deg"
buffer composition,formulation,stability,stability,stabilizes,3,3,high,the ch14.18 clinical product formulated in phosphate-buffered saline... is stable for more than five years
formulation,formulation,charge variants,quality_outcome,stabilizes,3,3,high,Our CVMS method allows confident assignment of intact monoclonal antibody isoforms.
glycoengineering,sequence,developability,formulation,stabilizes,3,3,high,emphasizes the need for the use of glyco-engineered plants lacking any potentially antigenic N-glycan structures.
pH,formulation,viscosity,stability,correlates,3,3,high,the viscosity profiles were pH dependent and linearly correlated with fluorescence intensity
formulation,formulation,glycosylation,quality_outcome,stabilizes,3,3,high,the perfusion culture produced... a higher proportion of sialic acid.
agitation stress,stress,particle formation,quality_outcome,promotes,3,3,high,"Agitation exclusively led to insoluble aggregates, or particle formation."
arg hcl,formulation,aggregation,stability,stabilizes,3,2,high,Arginine hydrochloride (ArgHCl) can be used as stabiliser of protein drugs reducing aggregation.
posttranslational modifications,sequence,stability,stability,modifies,3,3,high,"identified numerous post-translational modifications (oxidized methionine, pyroglutamylation, deamidation of Asn, and se"
temperature,stress,stability,stability,stabilizes,3,3,high,Effective and robust precipitation conditions including temperature... gave acceptable yield and purity levels for IgG1 
stress conditions,stress,particle formation,stability,promotes,3,3,high,interfacial stress-induced protein particle formation depends on the adsorption kinetics of the IgG molecules.
storage conditions,stress,glycosylation,sequence,induces,3,3,high,using harvest times outside of the historical manufacturing operating range
excipients,formulation,biological activity,quality_outcome,stabilizes,3,3,high,"adding some cytokines (IL-2, IL-21, IL-15, etc) may elevate the ADCC effect mediated by monoclonal antibodies."
agitation stress,stress,degradation,stability,promotes,3,3,high,in which protein mass loss after particle removal could be measured experimentally.
mechanical stress,stress,aggregation,stability,promotes,3,3,high,inverse relationship was observed in aggregation trends upon exposure to mechanical and thermal stresses.
formulation,sequence,binding activity,quality_outcome,stabilizes,3,3,high,"crenezumab binds to multiple forms of amyloid beta (Abeta), particularly oligomeric forms"
freeze-thaw cycles,stress,stability,stability,destabilizes,3,3,medium,"BVZ, RTX and TTZ proved to be the most stable in freeze/thaw cycles"
sucrose,formulation,viscosity,stability,modifies,3,3,high,sucrose and trehalose tended to have opposite effects on viscosity
surfactant,formulation,stability,stability,positive,3,3,high,surfactants are utilized in MAb formulations as a stabilizer
immunogenicity,sequence,immunogenicity,stability,promotes,3,3,high,correlation between mAb immunogenicity and safety profiles
low pH,stress,unfolding,stability,promotes,3,3,high,"At low pH, a relatively unfolded intermediate conformation is populated for SMA."
oxidative stress,stress,oxidation,stability,negative,3,3,high,Oxidative stress...may increase the protein carbonyl content in the mAb product
interaction,structure,stability,stability,supports,3,3,high,The results supported a mechanism of intermolecular domain exchange involving the Fab domains...
surfactant,formulation,prevents adsorption,stability,stabilizes,3,2,high,Protein adsorption can be prevented by addition of surfactants as well as by increasing the hydrophilicity of the inner 
temperature,stress,degradation,stability,negative,3,3,high,"subjected to several stress conditions including pH, temperature, mechanical agitation."
original term,formulation,no effect,stability,neutral,3,2,high,no evidence of accelerated clearance or time-dependent changes in pharmacokinetics
polysorbate 20,formulation,aggregation,stability,promotes,3,3,high,"the three most important factors affecting the selected responses for this particular antibody were pH, NaCl, and Polyso"
acidic ph,stress,aggregation,stability,promotes,3,3,high,The recombinant V(L) domain...was found to form amyloid fibrils at acidic pH.
trehalose,formulation,aggregation,stability,inhibits,3,3,high,Trehalose had strongly stabilizing effects on both the nucleation and growth phase
icam-1 mab treatment,formulation,inhibition,stability,stabilizes,3,1,high,Increase of ICP and brain water content were significantly inhibited by intravenous treatment with ICAM-1 mAb.
agitation stress,stress,increased,quality_outcome,promotes,3,2,high,"Proteinaceous monoclonal antibody (mAb) particles, generated either by chemical denaturation or agitation stress."
freezing,stress,aggregation,stability,promotes,3,3,high,freezing and thawing also caused formation of aggregates and particles across a broad size range.
aggregation,stability,instability,structure,induces,3,3,high,"the reactivity of non-native monomers is larger than that of non-native aggregates, likely due to the reduction of the n"
glycosylation pattern,sequence,stability,stability,correlates,3,3,high,"Specific examples of site-specific glycosylation patterns of... therapeutic monoclonal antibody, Infliximab are also dis"
reversible self-association,structure,increased viscosity,stability,promotes,3,3,high,the reversible multivalent self-association of this protein...results in unusually high viscosity
chemical modification,sequence,binding activity,stability,destabilizes,3,3,high,The association rate constant (k+1) was found to be altered by chemical modification of hCG.
formulation,formulation,increased,stability,destabilizes,3,3,high,the interfacial viscosity dominates the low shear viscosity measured in rotational rheometers
monoclonal antibodies,sequence,biological activity,stability,stabilizes,3,2,high,Novel low-n tau oligomer specific monoclonal antibody inhibits Tau oligomerization in cells and promotes toxic tau clear
afucosylation,sequence,increased binding affinity,quality_outcome,stabilizes,3,3,high,Afucosylation is known to increase the affinity of mAbs for CD16 on NK cells
glycosylation,sequence,binding affinity,quality_outcome,destabilizes,3,3,high,elimination of the N-linked carbohydrate attachment sequences...produced significant decreases in 2G12 binding affinity
mab1,sequence,viscosity,stability,promotes,3,3,high,MAb1 has a significantly higher viscosity compared to MAb2
arginine,formulation,conformational stability,stability,neutral,3,2,high,Both sucrose and arginine did not influence the pretransition dynamics of mAb-A.
NaCl,formulation,aggregation,stability,promotes,3,2,high,"the three most important factors affecting the selected responses for this particular antibody were pH, NaCl, and Polyso"
formulation,formulation,viscosity,stability,increases,3,2,high,the Arrhenius mixing rule failed to predict the higher viscosities of their mixtures.
low pH treatment,stress,aggregation,stability,negative,3,3,high,mechanisms of acid-induced antibody aggregation
amino acid substitution,sequence,binding activity,quality_outcome,modifies,3,3,high,Amino acid substitutions and biochemical modifications of the V3 loop were found to affect antibody binding depending on
nrf2/ho-1 pathway activation,structure,biological activity,stability,stabilizes,3,1,high,through the activation of the Nrf2/HO-1 pathway
n-glycosylation,sequence,impact,quality_outcome,modifies,3,3,high,"N-glycosylated both in the Fc and Fab moieties, which have been shown to impact on safety and PK/PD"
ripk1/mlkl pathway inhibition,structure,biological activity,stability,stabilizes,3,1,high,inhibition of the RIPK1/MLKL pathway
anti-drug mAb,sequence,clearance,stability,promotes,3,3,high,Typical clearance of infliximab was 0.404 Lday and increased with the presence of anti-drug antibodies.
high pH,formulation,stability,stability,modifies,3,3,high,The stability of mAb is evaluated with respect to high pH conditions.
glycoengineering,sequence,stability,stability,stabilizes,3,2,high,Glycoengineering enabled the production of proteins with human N-linked glycans by Pichia pastoris.
histidine,formulation,aggregation,stability,inhibits,3,3,high,Histidine was strongly stabilizing but was limited by its poor solubility
concentration,formulation,instability,stability,negative,3,3,high,"The ADCs were largely monomeric at intermediate loading levels (4-5 drug/mAb), in contrast to highly aggregated p-aminob"
deamidation,stress,aggregation,stability,promotes,3,3,high,deamidation...may predispose the product to aggregation
pH,formulation,thermal stability,stability,positive,3,3,high,Thermal stabilization of the antibody was influenced by solution pH
glycoengineering,sequence,efficacy,quality_outcome,stabilizes,3,3,high,glycoengineering is now being used to produce mAbs with improved efficacy
glycosylation,sequence,conformational stability,structure,positive,3,3,high,"glycosylation alters the conformational equilibrium of the antigen, which allows the antibody to select the correct conf"
light exposure,stress,stability,stability,destabilizes,3,3,high,the excipients did not protect completely the drug from photodegradation.
aggregates,structure,immunogenicity,quality_outcome,reinforces,3,3,high,This study reinforces the important role of protein aggregates on immunogenicity of therapeutic proteins.
excipients,formulation,inhibition,stability,inhibits,3,3,high,is inhibited by 40-80% the increased tumour cell invasion provoked by radiotherapy.
inhibition of endosomal/lysosomal pathway,stress,blocking activity,stability,destabilizes,2,1,high,Inhibition of the endosomal/lysosomal pathway... blocked 5G2-mediated neuroprotection
formulation,sequence,prevents adsorption,stability,stabilizes,2,1,high,"surfactants prevent mAb adsorption depending on the mAb modality, surfactant type and concentration, and surface materia"
structural information,structure,understanding,structure,modifies,2,2,medium,Structural modeling suggests a way to understand the configuration of QNEs.
self-association,stability,opalescence,quality_outcome,promotes,2,2,high,the opalescence behavior is related to the antibody self-association (agglomeration)
C-terminal lysine,sequence,basic variants,quality_outcome,decreases,2,2,high,Remsima was observed to contain slightly less basic variants than the original antibody.
binding affinity,sequence,binding activity,structure,stabilizes,2,2,high,"using mAb isotypes that promote receptor clustering, such as human immunoglobulin G1 (hIgG1)."
polysorbate 80,formulation,inhibits aggregation,stability,positive,2,2,high,Addition of nonionic surfactants...protected against aggregation
optimization of antibody,structure,immunogenicity,quality_outcome,decreases,2,2,high,simultaneously optimizing the antibody molecule in the light of these properties
aggregation,stability,immunogenic responses,quality_outcome,increases,2,2,high,minimizing aggregation can potentially reduce immunogenic responses.
arg glu,formulation,n/a,quality_outcome,does not have further detrimental effects on,2,1,high,ArgGlu does not have any further detrimental effects on THP-1 viability in comparison to NaCl
surfactant,formulation,aggregation,stability,stabilizes,2,2,high,the addition of surfactants to antibody formulations...markedly reduced the formation of medium or large aggregates
arginine,formulation,suppresses aggregation,stability,stabilizes,2,2,high,arginine suppresses aggregation concentration-dependently during thermal unfolding.
glycosylation,sequence,safety and efficacy,quality_outcome,modifies,2,2,high,Glycosylation is a crucial posttranslational modification (PTM) that might affect the safety and efficacy of monoclonal 
presence of nacl,formulation,particle formation,quality_outcome,modifies,2,2,high,the presence of NaCl exhibited a pH and stress-dependent behavior resulting in promotion or inhibition mAb particle form
pH 5.5,formulation,stability,structure,stabilizes,2,2,high,the adsorbed mAb adopts a stable 'flat-on' orientation at pH 5.5
pH,formulation,aggregation rates,stability,increases,2,2,high,kobs values were determined from isothermal kinetic studies for a range of pH and salt conditions.
il-12,formulation,antibody-dependent cellular cytotoxicity,quality_outcome,stabilizes,2,2,high,ADCC activity of KM871 was significantly enhanced and maintained for the 10-day study period upon culturing PBMCs with m
hydrophobic interactions,structure,stability,stability,stabilizes,2,2,high,the complex was formed mainly via hydrophobic interactions between Sc3F3 and AChE molecules.
covalent binding,structure,binding activity,quality_outcome,stabilizes,2,2,high,maintenance of PIC antigen-binding activity (verified by cellular binding-uptake assays)
excipients,formulation,increased,quality_outcome,stabilizes,2,2,high,"Strategies for protecting secreted antibody, such as addition of poly(vinylpyrrolidone)... also increased antibody titer"
low pH,formulation,degradation,stability,promotes,2,2,high,the use of low pH to elute the molecule can lead to product degradation
air-water interface,stress,aggregation,stability,promotes,2,2,high,exposure to the air-water interface was a significant cause of aggregation
narsoplimab,sequence,biological activity,stability,stabilizes,2,1,high,narsoplimab selectively inhibited lectin pathway-dependent activation of C5b-9 with high potency (IC ~ 1 nM)
tffd,formulation,stability,stability,stabilizes,2,1,high,"TFFD can be applied to produce stable, aerosolizable dry powders of mAbs for pulmonary delivery"
freezing,stress,cryoconcentration,stability,increases,2,2,high,a cryoconcentration of almost three-fold was observed for frozen DS when freezing was conducted at -20 and -40 degrees C
non-neutralizing mabs,sequence,biological activity,stability,inhibits,2,2,high,passive transfer of non-neutralizing mAbs protects against MAYV infection and disease in mice
free thiols,sequence,impact,stability,destabilizes,2,1,high,"Free thiols... impact on the protein structure, bioactivity and stability."
AL-associated light chains,sequence,instability,sequence,increases,2,1,high,AL-associated light chains harboured significantly more mutations compared to multiple myeloma and polyclonal sequences
protein-protein interactions,structure,phase behavior,stability,modifies,2,2,high,"Protein-protein interactions, as determined from the osmotic second virial coefficient, are used to interpret the phase "
high mannose content,sequence,biological activity,stability,promotes,2,2,high,which might be due to the high mannose content interacting with mannose receptors.
decreased TfR binding affinity,stability,increased,stability,stabilizes,2,1,high,increased blood half-life and increased brain concentration
concentration,formulation,aggregate formation,stability,decreases,2,2,high,minimized aggregate formation and RSA across the entire process.
glycosylation profile,sequence,stability,stability,promotes,2,2,high,"Therapeutic glycoproteins produced... have shown comparable folding, stability..."
formulation,stress,destabilizes,stability,negative,2,2,high,cryoconcentration-enhanced BA-mAb interactions during freezing
exatecan,sequence,increased,stability,promotes photodegradation,2,1,high,"Exatecan-conjugated ADC exhibited the strongest photodegradation, demonstrated by strong coloration, increase in aggrega"
