cause,category_cause,effect,category_effect,relationship,frequency,num_papers,main_confidence,sample_evidence,pmid_list
pH,formulation,conformational stability,stability,modifies,3,3,high,"The Tm and H increased with pH, suggesting increased conformational stability.",24740840;26267255;26851357
sorbitol,formulation,aggregation,stability,decreases,3,3,high,All tested excipients significantly reduced aggregation of both mAbs during low-pH incubation.,26851357;38696486;41471335
structural alterations,structure,receptor oligomerization,stability,stabilizes,3,1,high,...cause structural alterations that stabilize receptor oligomerization.,40958417
thermal stability,stability,aggregation,stability,inhibits,3,3,high,thermal stability experiments showed that both mAbs (Aa3c10; b10c1) are stable up to thirty days at 45 degrees C,25221926;31628369;33612757
glycine,formulation,aggregation,stability,inhibits,3,3,high,glycine-HCL and sodium citrate as elution buffers... mitigate anti-PD1 aggregation,31199179;34907498;39837187
surfactants,formulation,aggregation,stability,decreases,3,3,high,the addition of surfactants to antibody formulations markedly reduced the formation of medium or large aggregates,25517319;33656340;38519813
binding,structure,ADCC,stability,increases,3,3,medium,affects their bioactivity and efficacy,32167012;38636191;39306747
oxidation,sequence,FcRn binding,stability,destabilizes,3,1,high,Met252 oxidation impairs FcRn binding more profoundly than Met428 oxidation.,25175600
site-specific conjugation,formulation,stability,stability,increases,3,3,medium,showed higher stability and tolerability than commercially available T-DM1.,31736230;36042175;41012501
polysorbate,formulation,stability,stability,stabilizes,3,3,high,the surfactant had a much higher stabilizing effect than the reduction of the SSA by CN.,29800618;34461112;38772451
Antibody,sequence,hydrogen bond,stability,shields,3,1,medium,"...Antibody-98 exhibited 14-15 hydrogen bonds, which were sustained at about 8-10 bonds for the majority of the simulati",41241079
liposomes,formulation,stability,stability,increases,3,3,high,LP/NCMPs showed good stability and preservation of protein activity.,38395155;40972448;41396166
NaCl,formulation,particle formation,stability,increases,3,2,high,Both stirring and NaCl accelerated particle formation.,24122556;34090901
high concentration,formulation,thermal stability,stability,isomerizes,3,3,high,decrease in the apparent thermal melting temperature of approximately 5-20 degrees C with increasing concentration,17083094;37214886;37334968
antibody concentration,formulation,viscosity,stability,increases,3,3,high,the large increase in viscosity of these biologics due to increased antibody concentration.,38572979;38666507;41378112
thermal stress,stress,structural stability,stability,destabilizes,3,3,high,decrease in structural stability observed in these studies is probably the result of aggregation or self-association,17083094;28502677;41602181
ADC,formulation,stability,stability,promotes,3,3,medium,"optimized at different levels including specificity, stability, toxin-linker, conjugation site.",31736230;32257692;41133465
sortilin levels,stability,PGRN levels,stability,decreases,3,2,high,concomitantly increased plasma and cerebrospinal fluid (CSF) PGRN by 2- to threefold,37322482;40713730
formulation composition,formulation,aggregation,stability,increases,3,3,high,the effect of formulation composition is more pronounced for aggregation of trastuzumab than for its conformational stab,38518870;39389538;39870255
Antibody,sequence,binding free energy,stability,decreases,3,1,high,...Antibody-374 exhibited the most advantageous G (-36.67kcal/mol)...,41241079
polysorbate 80,formulation,degradation,stability,destabilizes,3,3,high,the degradation of polysorbate 80 causes a concern for the long-term stability of biopharmaceutical drug product,37285658;37769426;38847283
oxidation,sequence,oxidation,stability,increases,3,3,high,...control of the oxidation and isomerization degradation pathways of a bispecific antibody...,30389566;34161073;35219863
HP-beta-CD,formulation,stability,stability,stabilizes,3,3,high,The stabilizing effect of 2-hydroxypropyl-beta-cyclodextrin (HP-beta-CD) in liquid and solid formulations.,33157211;33775727;39818362
VHH,sequence,specificity,stability,increases,3,3,high,VHH... retain high specificity.,38006661;40580143;41659518
colloidal stability,stability,aggregation,stability,promotes,3,3,high,sulfation did modestly increase its rate of aggregation.,28593474;31669120;37742207
interfacial stress,stress,aggregation,stability,promotes,3,3,high,"detrimental interplay of mechanical, interfacial, and thermal/dehydration stresses on mAb-A stability, notably character",38518870;39179400;40617264
nanobodies,sequence,solubility,stability,increases,3,3,medium,"Nanobodies offer a promising alternative due to their high stability, solubility, microbial expression, and low immunoge",31495493;40858048;41485660
interfacial stress,stress,particle formation,stability,promotes,3,3,high,"mitigate interfacial stress, thus preventing... particle formation.",39179400;40590319;40617264
elevated temperature,stress,stability,stability,increases,3,3,high,formulation was highly stable... at an elevated temperature compared to its liquid state.,34237365;39492542;41448489
temperature,stress,aggregation rate,stability,increases,3,2,high,Both antibodies evidenced increasing aggregation rates when approaching extreme temperatures.,21671226;37832611
mechanical stress,stress,stability,stability,destabilizes,3,3,high,"Mechanical, interfacial, and shear stresses encountered during development... can compromise monoclonal antibody (mAb) s",39818362;41254318;41448489
high concentration,formulation,aggregation,stability,decreases,3,3,high,L-Met at concentrations exceeding 20mM surpasses conventional antioxidants in mitigating aggregation.,23146227;40978010;41580053
structural integrity,structure,stability,stability,increases,3,3,high,subjecting biosimilar monoclonal antibodies to controlled stress conditions yields essential insights into their structu,23995617;30048656;40284014
polysorbate 80,formulation,adsorption,stability,inhibits,3,1,high,adsorption was reduced in the presence of 30 mg/L surfactant.,25446557
humanization,sequence,immunogenicity,quality_outcome,decreases,3,3,high,Antibody humanization is essential for reducing the potential risk of immunogenicity.,30539472;30539473;33751827
N-glycosylation,sequence,stability,stability,increases,3,3,high,N-glycosylation of the Fc part is a critical quality attribute that impacts their stability.,22430811;38759899;41380355
polysorbates,formulation,stability,stability,stabilizes,3,3,high,Polysorbates are commonly used to stabilize mAbs.,31811896;38675488;39295215
solution pH,formulation,thermal stability,stability,increases,3,2,high,Thermal stabilization of the antibody was influenced by solution pH.,27866015;31758731
light exposure,stress,oxidation,stability,induces,3,3,high,The chemical modifications detected by LC-MS/MS after the light stressor showed Trp and Met mono and double oxidations.,35595030;38401872;41273300
interactions,structure,stability,stability,increases,3,3,high,Protein-protein interactions in monoclonal antibody solutions are important for the stability of a therapeutic drug.,29423596;31199179;37549226
sequence optimization,sequence,stability,stability,increases,3,2,high,sequence optimization enhances stability and targeting.,25759214;41590805
self-association,stability,opalescence,stability,promotes,3,3,high,predictive of antibody developability issues of high viscosity and opalescence,34105965;36668814;40826518
cysteine,sequence,stability,stability,increases,3,3,high,the disulfide-stabilized (ds) diabody proved more stable in vitro and in vivo.,23055339;27473655;29065930
hLF,structure,half-life,stability,increases,3,2,high,hLF-hinge-CH2-CH3 demonstrated a plasma half-life that was 9.1-fold longer than that of rhLF,25433245;28763236
hLF,structure,thermal stability,stability,increases,3,2,high,Caco-2 uptake and thermal stability were improved for hLF-Fc fusion relative to rhLF,25433245;28763236
purification,formulation,stability,stability,requires,3,3,medium,The target proteins were purified by a nickel-based matrix via tag affinity.,30892061;38235378;40976396
computational methods,formulation,stability,stability,increases,3,3,medium,stability improvement.,31544842;41007619;41008874
peptide integrity,sequence,thermal stability,stability,requires,2,1,high,significance of amphipathic helical peptide sequence integrity in PNP assembly,40262373
Asp isomerization,stability,binding affinity,quality_outcome,decreases,2,2,high,Direct engineering of the Asp residue resulted in a greater than 5x loss of antigen-binding affinity.,26869414;38956880
glycan conjugation,sequence,thermal stability,stability,increases,2,1,high,the resulting glycan-conjugated ADC exhibited improved thermal stability,41799094
glycan conjugation,sequence,aggregation,stability,decreases,2,1,high,the resulting glycan-conjugated ADC exhibited reduced aggregation,41799094
EPO-Fc fusion,formulation,stability,stability,increases,2,2,medium,evaluate the efforts to enhance the expression of full-length EPO-Fc targeted to the apoplast.,22430811;34305971
nonionic surfactants,formulation,biocatalytic performance,stability,destabilizes,2,1,medium,the suppression influence of nonionic surfactants on the biocatalytic performance of natural alkane-degrading bacteria,38145885
purity,stability,stability,stability,increases,2,2,high,Its stability was demonstrated after 48 months of storage.,37831372;41666980
disulfide bond,structure,conformational stability,stability,promotes,2,2,high,"Several additional sites for the introduction of interchain disulfide bonds, which contribute to conformational stabilit",29097200;40307023
early interactions,structure,Tau fibril maturation,stability,requires,2,1,high,critical role of early P1-P2 and R1-R3 interactions in Tau fibril maturation.,41643771
high stability,stability,favorable pharmacokinetics,stability,promotes,2,2,high,showing dose proportionality and superimposable total antibody and intact ADC curves.,37486969;40667801
hLF,structure,stability,stability,increases,2,1,high,"hLF-hinge-CH2-CH3 with improved stability, biological activity, and pharmacokinetics.",28763236
engineered construct,structure,systemic exposure,stability,decreases,2,1,medium,aims to reduce blood circulation time and minimize systemic exposure,40403225
region,structure,immune activation,stability,promotes,2,1,high,the targeting capability of the Fab region and the Fc region-mediated tumor antigen-dependent immune activation.,40492586
beta-cyclodextrin,formulation,stability,stability,stabilizes,2,1,high,The addition of CD allows for shorter freeze-drying cycles with improved cake appearance.,31622600
sucrose,formulation,collapse,stability,requires,2,1,high,Sucrose-based formulations require low primary drying temperatures to avoid collapse.,31622600
mannitol formulation,formulation,aggregation,stability,decreases,2,2,high,All tested excipients significantly reduced aggregation of both mAbs during low-pH incubation.,39564766;41471335
hLF,structure,immune effector functions,stability,decreases,2,1,high,hinge-deficient hLF-CH2-CH3 did not elicit Fc-mediated effector response.,28763236
light exposure,stress,functionality,stability,destabilizes,2,2,high,"Functionality, evaluated by its immunochemical reaction with VEGF, was found to be stable but with decrease when exposed",32060315;39339258
stability,stability,immunogenicity,quality_outcome,increases,2,2,medium,assessed for stability and immunogenicity in mice,24468629;29386070
self-association,stability,liquid-liquid phase separation,stability,promotes,2,2,high,"...reversible self-association, high viscosity, and liquid-liquid phase separation.",30395473;31563513
L-arginine,formulation,stability,stability,stabilizes,2,1,high,L-Arginine based lyophilisates were tested regarding their ability to stabilise a monoclonal antibody.,33188928
modifications,sequence,viscosity,stability,decreases,2,1,high,the high viscosity of omalizumab was reduced 10.7-fold by Fc modifications.,39028186
thermal stability,stability,storage,formulation,requires,2,2,high,optimisation of storage conditions based on only thermal stability studies,23315232;24994667
higher order structure,stability,safety,quality_outcome,increases,2,2,high,...which might impact safety and efficacy.,38117548;38761863
temperature,stress,thermal stability,stability,increases,2,2,high,determination of protein thermal stability is commonly used to find the optimum storage conditions,24994667;30913973
polysorbate 20,formulation,in-use stability,stability,requires,2,1,high,a minimum level of polysorbate 20 required in the drug product was determined to estimate the in-use stability.,37643700
interactions,structure,viscosity,stability,increases,2,1,high,both Fab-Fab and Fab-Fc interactions contribute to the high viscosity of omalizumab.,39028186
tolerogenic epitopes,sequence,immunogenicity potential,stability,decreases,2,1,high,tolerogenic epitopes are present in some human proteins and may decrease their immunogenic potential.,38022550
concentration,formulation,physicochemical stability,stability,requires,2,2,medium,Three different batches at two concentrations (0.7mg/mL or 1.6mg/mL) were used.,27659414;34153938
stability studies,stress,content,stability,inhibits,2,2,high,stability studies showed minimal changes in particle size and drug content.,40471504;40657186
molecular dynamics,stress,structural stability,stability,increases,2,2,high,The molecular dynamics simulations further revealed the structural stability of the two mutant variants.,40168837;41205205
Fc fragment,sequence,stability,stability,increases,2,2,medium,"To improve stability of FGF21 for better efficacy, a new form of recombinant FGF21 was generated.",22010347;40540979
polysorbate 20,formulation,stability,stability,stabilizes,2,2,high,The majority of commercially available monoclonal antibody (mAb) formulations are stabilized with one of three non-ionic,38042510;38432108
MNC surfaces,structure,colloidal stability,stability,increases,2,1,high,increasing the colloidal stability of the MNCs by masking poly(ethylene glycol),21836291
glycan feature,sequence,immunogenicity,quality_outcome,modifies,2,2,high,specific glycan features influence antigenicity and immunogenicity,40291659;40500295
glycan feature,sequence,antigenicity,quality_outcome,modifies,2,2,high,specific glycan features influence antigenicity and immunogenicity,40291659;40500295
pH,formulation,colloidal stability,stability,modifies,2,2,high,systematic evaluation of the effects of pH and buffer salts on colloidal stability of mAbs.,37867303;41022695
glycan content,sequence,antibody response,quality_outcome,increases,2,2,high,glycan content impacts biochemical properties of antigens to varying degrees,40291659;40500295
glycan content,sequence,stability,stability,stabilizes,2,2,high,glycans would maximize epitope exposure without compromising antigen stability,40291659;40500295
extracellular AGR2,formulation,beta-catenin,stability,increases,2,1,medium,"externally added AGR2 also increased beta-catenin expression, stability, and accumulation in the nucleus",34399098
silicone oil,formulation,stability,stability,destabilizes,2,2,medium,contamination of the syringe content by silicone oil microdroplets,22655582;36933655
arginine formulation,formulation,conformational stability,stability,destabilizes,2,1,high,arginine... significantly reduced the colloidal and conformational stability.,37871869
arginine formulation,formulation,colloidal stability,stability,stabilizes,2,1,high,arginine and its derivatives have varying degrees of protein aggregation suppressor effect.,37871869
aggregation,stability,instability,stability,increases,2,2,high,"physical stability assays (aggregation, fragmentation, and primary, secondary, and tertiary structure analysis)",31465737;38145790
endotoxin-associated protein,formulation,serum amyloid A,stability,induces,2,1,high,EAP appeared to act directly to induce SAA production.,3286501
BSA docked GM,formulation,immune response,stability,increases,2,1,high,vaccination of 2.41 +/- 1.56 microm sized GM elicited significantly higher serum IgG response.,20432626
glycan content,sequence,neutralization potency,quality_outcome,increases,2,2,high,glycan content impacts biochemical properties of antigens to varying degrees,40291659;40500295
free thiol,sequence,aggregation,stability,increases,2,2,high,the presence of free thiols may have an impact on aggregate formation,28186329;30939413
peptides,sequence,binding affinity,stability,increases,2,2,high,"engineered small, linear, proteinogenic peptides that bind human programmed death-ligand 1 (hPD-L1) with high affinity",40635997;40852896
synthetic amino acids,sequence,stability,structure,induces,2,1,high,stable oxime conjugation enabled via synthetic amino acid protein incorporation,39172730
binding interaction,structure,improved protein stability,stability,promotes,2,1,high,implying improved protein stability,39633654
pH stress,stress,aggregation,stability,promotes,2,2,high,thermal and pH stress dictate distinct mechanisms of monoclonal antibody aggregation.,29909010;39427803
conjugation methods,formulation,stability,stability,increases,2,2,medium,technologies aiming to improve the homogeneity and stability of ADCs are being developed and tested.,34363839;39329289
polysorbate 20 and 80,formulation,binding interaction,structure,binds,2,1,high,polysorbates underwent binding interactions with beta-Ig and HSA,39633654
biophysical properties,structure,developability,stability,increases,2,2,high,biophysical and biochemical properties that underpin developability potential.,34478132;39606945
degradation,formulation,aggregation,stability,promotes,2,2,high,"All three surfactants are susceptible to degradation, which can result in... protein aggregation.",37285658;38432108
RBD219-N1C1,structure,binding IgG,stability,induces,2,2,high,both the RBD219-WT and RBD219-N1C1 vaccines induced high levels of binding IgG antibodies,33173864;33847226
highly aggregated samples,formulation,immunogenicity,stability,induces,2,1,high,highly aggregated samples induced cellular responses in a manner that depended on the number of particles.,38519817
subvisible particles,formulation,immunogenicity,stability,decreases,2,2,high,subvisible particles did not induce a response in cell-based assays or appear to increase the rate of adverse events or ,38519817;39615881
DFO,formulation,stability,stability,promotes,2,1,high,DFO* conjugated to T-DM1 provides more stable complexation of Zr,31931305
design challenges,structure,stability,stability,destabilizes,2,2,medium,"challenges and considerations faced in the design, manufacture, and formulation of therapeutic antibodies.",21393992;31544842
mechanical shocks,stress,stability,stability,increases,2,2,high,formulation was highly stable under repeated mechanical shocks.,34237365;39993712
rC/N,formulation,Th1 responses,stability,increases,2,1,high,Th1-type responses were dominant over Th2-type responses in vaccinated mice with rC/N-OMV.,30278608
rC/N,formulation,Th2 responses,stability,increases,2,1,high,Th2 type responses increased dominantly in vaccinated mice with rC/N-MF59.,30278608
polysorbate 80,formulation,colloidal stability,stability,increases,2,2,high,"Measurements of conformational stability, colloidal stability, and surface tension demonstrated that PS80 protects again",24449131;31108051
BsAbs,structure,stability,stability,increases,2,2,high,The results of undetectable mispairing and high biological activity.,28827777;40574860
